Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,2004,Pro,2021/07/13,19041.111,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/07/14,18363.959,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/06/09,18363.9,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/05/12,18363.836,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/04/14,18363.778,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/03/12,18363.72,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/02/11,18363.657,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/01/14,18363.592,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2019/12/10,18363.535,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2019/10/05,18363.418,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2021/04/13,18363.15,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2021/03/09,18363.144,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2020/07/14,18362.959,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2020/05/12,18362.836,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2020/03/12,18362.72,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2020/02/11,18362.657,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2019/12/10,18362.535,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2019/11/12,18362.476,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2019/09/10,18362.356,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2019/03/29,18362.3,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2019/07/09,18362.239,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2019/06/11,18362.175,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1809,Pro,2020/01/14,17763.973,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1809,Pro,2019/12/10,17763.914,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1809,Pro,2019/11/12,17763.864,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1809,Pro,2019/10/08,17763.805,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1809,Pro,2019/09/10,17763.737,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1809,Pro,2019/08/13,17763.678,The Unencrypted request data for IPMI request {NetFn},{NetFn}
1,0,Information,Microsoft-Windows-DAL-Provider/Analytic,,,,Windows 10,1809,Pro,2019/07/09,17763.615,The Unencrypted request data for IPMI request {NetFn},{NetFn}
