Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,22H2,Pro,2023/02/21,19045.2604,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,22H2,Pro,2023/01/17,19045.2486,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,22H2,Pro,2022/12/20,19045.2364,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,22H2,Pro,2022/11/15,19045.2251,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2023/03/21,19044.2728,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2023/02/21,19044.2604,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2023/01/17,19044.2486,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/12/20,19044.2364,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/11/15,19044.2251,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/10/18,19044.213,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/12/20,19043.2364,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/11/15,19043.2251,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/10/18,19043.213,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,2004,Pro,2021/05/11,19041.985,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,2004,Pro,2021/04/13,19041.928,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,2004,Pro,2021/03/09,19041.867,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,2004,Pro,2021/02/09,19041.804,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,2004,Pro,2021/01/12,19041.746,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
1,0,Error,Microsoft-Windows-PushNotifications-InProc/Debug,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,WpnInPrc has encountered an error in file {FileName}; function {FunctionName}; line {LineNumber}: {ErrorCode}.,{FileName} | {FunctionName} | {LineNumber} | {ErrorCode}
