Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/12/20,19043.2364,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/11/15,19043.2251,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/10/18,19043.213,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/09/20,19043.2006,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/08/16,19043.1889,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/07/19,19043.1826,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,WCN successfully decoded a message,
9000,0,Information,Microsoft-Windows-WCN-Config-Registrar/Diagnostic,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,WCN successfully decoded a message,
