Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Admin,,,,Windows 11,22H2,Pro,2022/12/20,22621.963,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,22H2,Pro,2022/11/15,22621.819,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,22H2,Pro,2022/10/18,22621.674,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,22H2,Pro,2023/03/21,22621.1413,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,22H2,Pro,2023/02/21,22621.1265,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,22H2,Pro,2023/01/17,22621.1105,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
1,0,Information,Admin,,,,Windows 11,21H2,Pro,2023/03/21,22000.1696,The {Type} troubleshooter '{Title}' is available from Microsoft. Learn more at {LearnMoreURL},{Type} | {Title} | {LearnMoreURL}
