Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/01/14,17763.973,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2018/11/13,17763.107,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2019/12/10,17763.914,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2019/09/10,17763.737,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2019/11/12,17763.864,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2019/08/13,17763.678,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2019/03/12,17763.379,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2019,1809,Standard,2020/02/11,17763.1039,,
100,0,Verbose,,ESE_Trace,,Trace,Windows Server 2016,1607,Standard,2016/11/08,14393.447,,
100,0,Verbose,,ESE_Trace,,Trace,Windows Server 2016,1607,Standard,2016/10/12,14393.0,,
100,0,Verbose,,ESE_Trace,,Trace,Windows Server 2016,1607,Standard,2017/11/14,14393.1884,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2021/09/14,20348.230,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows Server 2022,21H2,Standard,2021/11/09,20348.350,,
100,0,Verbose,,ESE_Trace,,Trace,Windows 10,1803,Pro,2019/08/13,17134.950,,
100,0,Verbose,,ESE_Trace,,Trace,Windows 10,1803,Pro,2019/09/10,17134.1006,,
100,0,Verbose,,ESE_TraceBaseId_Trace,,Trace,Windows 10,1803,Pro,2019/01/08,17763.253,,
100,0,Verbose,,ESE_Trace,,Trace,Windows 10,1803,Pro,2019/03/12,17134.648,,
