Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,,FailedNtStatus,,Error,Windows 11,22H2,Pro,2022/12/20,22621.963,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,22H2,Pro,2022/11/15,22621.819,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,22H2,Pro,2022/10/18,22621.674,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,22H2,Pro,2022/09/20,22621.382,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/09/20,22000.978,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/08/16,22000.856,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/07/19,22000.795,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/06/21,22000.739,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/05/17,22000.675,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/04/19,22000.613,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/03/15,22000.556,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/02/15,22000.493,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/01/11,22000.434,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2021/12/14,22000.376,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2021/11/09,22000.318,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2021/09/16,22000.194,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/12/20,22000.1335,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/11/15,22000.1219,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro,2022/10/18,22000.1098,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
100,0,Error,,FailedNtStatus,,Error,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,Failed with status {Status} in file {File} on line {Line},{Status} | {File} | {Line}
