Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
0,0,Error,,,,Error,Windows 10,20H2,Pro,2021/02/09,19041.804,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2021/01/12,19041.746,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2021/01/12,19041.746,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/12/08,19041.685,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2020/12/08,19041.685,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2020/11/19,19041.631,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/11/10,19041.63,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/10/13,19041.572,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/09/08,19041.508,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/08/11,19041.45,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/07/14,19041.388,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/06/09,19041.329,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/05/27,19041.264,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2020/04/16,19041.208,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2022/03/15,19041.1586,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,21H1,Pro,2022/03/15,19041.1586,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,21H2,Pro,2022/03/15,19041.1586,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2022/02/15,19041.1526,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,21H1,Pro,2022/02/15,19041.1526,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,21H2,Pro,2022/02/15,19041.1526,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2021/12/14,19041.1415,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2021/11/09,19041.1348,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2021/11/09,19041.1348,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2021/10/12,19041.1288,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2021/10/12,19041.1288,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2021/09/14,19041.1237,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2021/09/14,19041.1237,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2021/08/10,19041.1165,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2021/08/10,19041.1165,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2021/07/13,19041.111,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,20H2,Pro,2021/07/13,19041.111,WinJson: WinHttpOpen Failed {hr}.,{hr}
0,0,Error,,,,Error,Windows 10,2004,Pro,2021/06/08,19041.1052,WinJson: WinHttpOpen Failed {hr}.,{hr}
