Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,22H2,Pro,2022/12/20,22621.963,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,22H2,Pro,2022/11/15,22621.819,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,22H2,Pro,2022/10/18,22621.674,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,22H2,Pro,2022/09/20,22621.382,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,22H2,Pro,2023/02/21,22621.1265,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,22H2,Pro,2023/02/21,22621.1265,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,22H2,Pro,2023/01/17,22621.1105,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/09/20,22000.978,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/08/16,22000.856,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/07/19,22000.795,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/06/21,22000.739,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/05/17,22000.675,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/04/19,22000.613,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/03/15,22000.556,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/02/15,22000.493,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2022/01/11,22000.434,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2021/12/14,22000.376,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2021/11/09,22000.318,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2021/09/16,22000.194,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2023/02/21,22000.1574,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
1,0,Information,Microsoft-Windows-Privacy-Auditing/Operational,Settings downloaded,,Settings Download,Windows 11,21H2,Pro,2023/01/17,22000.1455,Settings were downloaded from the {Partner}.{Feature} endpoint by {CallerId},{Partner} | {Feature} | {CallerId}
