Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Error,10,0,,,,DUMMY,NtfsLookupRealAllocation: Vcn {A10_Vcn}!I64x!; LowestVcn {A11_Attribute->Form.Nonresident.LowestVcn}!I64x!; HighestVcn {A12_Attribute->Form.Nonresident.HighestVcn}!I64x!; AllocationClusters {A13_AllocationClusters}!I64x!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Information,11,0,,,,,NtfsAllocateAttribute MaxAlloc for Mft's AttrList IC:{A10_IrpContext}!p!; Scb:{A11_Scb}!p!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Information,12,0,,,,ALLOC_FREE_CLUS,FileObject: {A10_FileObject}!p!; Scb: {A11_Scb}!p!; StaringVcn: {A12_StartingVcn}!I64x!; ClusterCount: {A13_ClusterCount}!I64x!; Flags: {A14_Flags}!08x!; CcbForWriteExtend: {A15_CcbForWriteExtend}!p!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Information,13,0,,,,,NtfsAddAllocation IC:{A10_IrpContext}!p!; FileObject:{A11_FileObject}!p!; Scb:{A12_Scb}!p!; StaringVcn:{A13_StartingVcn}!I64x!; ClusterCount:{A14_ClusterCount}!I64x!; Flags:{A15_Flags}!08x!; CcbForWriteExtend:{A16_CcbForWriteExtend}!p!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Error,14,0,,,,DAX,Purge failed: Scb: {A10_Scb}!p!; PurgeOffset: 0x{A11_PurgeOffset}!016I64x!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Error,15,0,,,,DAX,Purge failed: Scb: {A10_Scb}!p!; PurgeOffset: 0x{A11_PurgeOffset}!016I64x!; PurgeChunkLength: 0x{A12_PurgeChunkLength}!x!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Information,16,0,,,,,NtfsGetLastVcnForNewMappingPairSize IC:{A10_IrpContext}!p!; Using LastVcn:{A11_*LastVcn}!4I64x!; InstanceId:{A12_Attribute->Instance}!x!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Error,17,0,,,,DUMMY,Can't find StdInfo in FileRef {A10_NtfsFullFileRefNumber( _Fcb->FileReference )}!I64x!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Error,18,0,,,,DUMMY,Can't find StdInfo in FileRef {A10_NtfsFullFileRefNumber( _Fcb->FileReference )}!I64x!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Information,19,0,,,,,NtfsCreateNonresidentWithValue Create Mft's NonResident Attribute List IC:{A10_IrpContext}!p!ValueLength:{A11_ValueLength}!x!; AttrFlags={A12_AttributeFlags}!x!
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Information,20,0,,,,FRSCONSOLIDATION,NtfsAddAttributeAllocation({A10_Vcb}!p!;{A11_IrpContext}!p!): Scb {A12_Scb}!p!; FileRef {A13_*(PULONGLONG)_Scb->Fcb->FileReference}!I64x!; LastVcn {A14_LastVcn}!I64x!; NewHighestVcn {A15_NewHighestVcn}!I64x!; PassCount {A16_PassCount}!x! - step 6
Microsoft-Windows-NtfsLog_2fa848f80350371e48dfc224687745af,Information,21,0,,,,FRSCONSOLIDATION,NtfsAddAttributeAllocation({A10_Vcb}!p!;{A11_IrpContext}!p!): Scb {A12_Scb}!p!; FileRef {A13_*(PULONGLONG)_Scb->Fcb->FileReference}!I64x!; LowestVcn {A14_Context->FoundAttribute.Attribute->Form.Nonresident.LowestVcn}!I64x!; HighestVcn {A15_Context->FoundAttribute.Attribute->Form.Nonresident.HighestVcn}!I64x!; ALE.LowestVcn {A16_Context->AttributeList.Entry->LowestVcn}!I64x! - try to merge backward
